phenotype,model,trial,llm_concepts,resolved,unresolved,resolution_rate,expanded_total,n_gold,precision,recall,f1,jaccard,precision_aa,recall_aa,f1_aa,tp,fp,fn,n_pred_patients,n_gold_patients,patient_tp,patient_fp,patient_fn,patient_precision,patient_recall,patient_f1
t2dm,claude_opus_4_6,1,104,66,38,63.5,8184,17,1.2218963831867058e-4,0.058823529411764705,2.4387269845140838e-4,1.2195121951219512e-4,0.002321603128054741,0.11764705882352941,0.004553352105925349,1,8183,16,636,662,636,0,26,1,0.9607250755287009,0.9799691833590138
t2dm,claude_opus_4_6,2,103,60,43,58.3,65,17,0.015384615384615385,0.058823529411764705,0.024390243902439025,0.012345679012345678,0.24615384615384617,0.11764705882352941,0.15920398009950248,1,64,16,636,662,636,0,26,1,0.9607250755287009,0.9799691833590138
t2dm,claude_opus_4_6,3,103,68,35,66,75,17,0.013333333333333334,0.058823529411764705,0.02173913043478261,0.01098901098901099,0.22666666666666666,0.11764705882352941,0.15489749430523916,1,74,16,636,662,636,0,26,1,0.9607250755287009,0.9799691833590138
t2dm,gemini_flash,1,92,48,44,52.2,53,17,0,0,0,0,0.32075471698113206,0.11764705882352941,0.17215189873417722,0,53,17,599,662,599,0,63,1,0.904833836858006,0.9500396510705789
t2dm,gemini_flash,2,160,51,109,31.9,53,17,0,0,0,0,0.3018867924528302,0.11764705882352941,0.16931216931216933,0,53,17,599,662,599,0,63,1,0.904833836858006,0.9500396510705789
t2dm,gemini_flash,3,55,45,10,81.8,51,17,0,0,0,0,0.3137254901960784,0.11764705882352941,0.1711229946524064,0,51,17,599,662,599,0,63,1,0.904833836858006,0.9500396510705789
cardiac_valve_af,claude_opus_4_6,1,111,69,42,62.2,79,181,0.0379746835443038,0.016574585635359115,0.023076923076923075,0.011673151750972763,0.26582278481012656,0.016574585635359115,0.031203566121842496,3,76,178,798,481,479,319,2,0.600250626566416,0.9958419958419958,0.7490226739640343
cardiac_valve_af,claude_opus_4_6,2,111,71,40,64,82,181,0.024390243902439025,0.011049723756906077,0.01520912547528517,0.007662835249042145,0.24390243902439024,0.011049723756906077,0.021141649048625793,2,80,179,779,481,475,304,6,0.6097560975609756,0.9875259875259875,0.753968253968254
cardiac_valve_af,claude_opus_4_6,3,117,72,45,61.5,82,181,0.012195121951219513,0.0055248618784530384,0.007604562737642585,0.003816793893129771,0.23170731707317074,0.0055248618784530384,0.010792388525986935,1,81,180,927,481,480,447,1,0.517799352750809,0.997920997920998,0.6818181818181818
cardiac_valve_af,gemini_flash,1,182,146,36,80.2,2172,181,4.6040515653775324e-4,0.0055248618784530384,8.499787505312367e-4,4.2517006802721087e-4,0.008747697974217311,0.0055248618784530384,0.006772411334877919,1,2171,180,1841,481,481,1360,0,0.2612710483432917,1,0.4142980189491817
cardiac_valve_af,gemini_flash,2,158,120,38,75.9,5599,181,0.0033934631184140023,0.10497237569060773,0.00657439446366782,0.0032980385349765666,0.006608322914806215,0.10497237569060773,0.012433895187392772,19,5580,162,1954,481,481,1473,0,0.24616171954964175,1,0.39507186858316223
